             t          Imag Ierr
-------------- ------------- ----
 89.6102785783  23.474266834 0.08
 92.3987781522 23.6184383907 0.08
 4.31572749951 23.6300743221 0.08
 77.5123419474 23.5764480029 0.08
 12.8308865562 23.9504690087 0.08
 87.8243704354 23.7784292362 0.08
 92.5553997407 23.7534458719 0.08
 76.7728435993 23.6489090099 0.08
 96.7969063141 23.8323143721 0.08
 89.2246449404 23.7261891799 0.08
 89.6975942685 23.5974386038 0.08
 28.5728454068 24.0071916094 0.08
  55.560125258 24.1438367691 0.08
 50.3588157784 23.6151566594 0.08
 53.7377968472 23.8856262754 0.08
 30.4165514795 23.8399481163 0.08
 88.4529956823 23.8931832114 0.08
 77.3141566837 23.6038965126 0.08
 35.5384203869 23.5397258981 0.08
 70.5068084006 24.0977286611 0.08
 88.3265856803 24.0210116977 0.08
 75.7172304772 23.7067203801 0.08
 49.8771873118 23.6630467127 0.08
 88.1810214008 23.9096305104 0.08
 12.1700930392 23.7278109387 0.08
 98.4933245746 24.0143095233 0.08
 67.1241462374 23.8687312122 0.08
  71.395595752 24.1689420207 0.08
  52.857266437 23.6839520937 0.08
 57.6603683487  24.028127463 0.08
 34.1728334379 23.5740476554 0.08
 75.4647795354 23.3957759398 0.08
 58.4486516899 23.9182691247 0.08
 93.5142081482 23.9259845404 0.08
 19.1558462188 23.7318854699 0.08
 79.8289464125 23.5396524393 0.08
   27.34827951 24.0068461667 0.08
 63.5973180702 23.6319986187 0.08
 21.1313548847 23.5824046355 0.08
 3.02731692446 23.8521953891 0.08
 67.5820733542 23.9446326201 0.08
 93.7111127051  23.628001725 0.08
 43.2799228001  24.022541237 0.08
 82.2744689835 23.9223270922 0.08
 4.25409588502 23.7425466507 0.08
 35.9341506118 23.7252138709 0.08
 93.1942080391 23.7825062281 0.08
 11.3943241327 23.7894412471 0.08
 35.4043796578 23.5611733377 0.08
 49.1460102491 23.6554433699 0.08
 8.48607926881 23.7380980409 0.08
 55.0948184567 23.8628503409 0.08
 37.6482660075 23.6718157389 0.08
 13.6929827491 24.0218547851 0.08
 25.1717452001  23.741797448 0.08
   2.619426332 23.9174070868 0.08
 56.4057281745 23.9618539813 0.08
 92.1596107695 23.6960291257 0.08
 55.0293090973 23.9239718483 0.08
  71.975961519 23.8548867672 0.08
 68.2046869023 23.8482272311 0.08
 81.3460229361 23.9002885958 0.08
 48.5668840121 23.6014057985 0.08
 95.2522480473  23.837863533 0.08
 17.7531905524 23.8325242827 0.08
 12.5215649818 23.9711322455 0.08
 30.0591297678  23.989345688 0.08
 31.6559824374 23.9954761906 0.08
 16.8373666736 24.0188424343 0.08
 97.4310188523 24.0557294889 0.08
  89.196617743 23.6132885121 0.08
  8.7608387758 23.6644296313 0.08
 64.6399927481 23.6067847965 0.08
 45.2708013059 23.8703011981 0.08
  47.508947459 23.5715677733 0.08
 81.3834147056 23.6532630518 0.08
 34.8535059988 23.5125275512 0.08
 22.4014368481 23.5982992111 0.08
 59.8004666137 23.9259178775 0.08
 98.3260880123 23.9884370925 0.08
 50.4194214943 23.6290887238 0.08
 69.2621120031 23.9809769746 0.08
 75.3071880977 23.5348735125 0.08
 64.8501158642 23.6729750012 0.08
 18.7352916761  23.626002158 0.08
 71.0818762457 24.1596742874 0.08
 81.9975605204 23.9001289979 0.08
 38.1067030498 23.6965795306 0.08
 48.7147995546  23.619205641 0.08
 39.1228521933 23.7876917869 0.08
 95.2064219414 23.7793101648 0.08
 16.4402413153 24.0477913513 0.08
 99.2981080664 24.1662308355 0.08
 10.6887610202 23.9444911533 0.08
 95.7730160519 23.8564875559 0.08
 84.5956605277  24.022288225 0.08
 19.5765620805 23.5995034098 0.08
 22.9359729404 23.5416529522 0.08
0.764152991291 23.9444835266 0.08
 55.5118998266 23.9829762992 0.08
 33.3041292087 23.5189589954 0.08
 98.4095743309 24.1357204312 0.08
 77.2543892542 23.5999642063 0.08
 44.4061571089 23.9521870223 0.08
 62.9487633726 23.4848127295 0.08
 76.6671746832 23.5910494915 0.08
 29.7745677251 23.8755553673 0.08
  14.498462408 23.9359514506 0.08
 68.5164394894 23.8445501465 0.08
 98.3382626319  24.081400951 0.08
  32.131645847 23.7098918674 0.08
 43.8001520055 23.9649713046 0.08
 86.8882169422 23.9131432442 0.08
 36.2248834698 23.6590116963 0.08
 91.0234950262  23.658861968 0.08
 97.7871530838 24.0417180161 0.08
 26.4388855327 24.1173103901 0.08
 68.0457125097 23.9460365624 0.08
 92.8732867359 23.7239722387 0.08
 99.3228834368 24.0097099853 0.08
 55.5459420313 24.1341734588 0.08
 43.5486390119 23.9118456396 0.08
 58.8645740835  23.998076484 0.08
 90.1907340644 23.5170258838 0.08
 45.6374530959 23.9478372477 0.08
 29.1844883188 23.9822756932 0.08
 34.0322913864 23.6659640732 0.08
 50.2966496735 23.5160699157 0.08
 97.9604280791 23.9406688961 0.08
 95.3284266498 23.6944408398 0.08
 92.0060100228 23.7060626922 0.08
 75.4623433448 23.5548550962 0.08
 10.7833367953 23.8842732827 0.08
  72.308125096  23.937696971 0.08
 3.33340260271 23.9549735114 0.08
 87.6691511887 23.8354182164 0.08
  7.3217853619 23.5983547625 0.08
 48.8152018593 23.5514656543 0.08
 93.2596314282 23.7397802341 0.08
 16.9854069297 24.0329109773 0.08
 8.85863994641 23.7015254005 0.08
  71.256828474 24.0740945303 0.08
 86.8385132883 23.9452036032 0.08
 79.8988841157 23.7143851671 0.08
 32.1943940155 23.6610152982 0.08
 86.1198738417 23.9933687934 0.08
 66.6309286011 23.7437299229 0.08
 46.2367016998 23.7694291287 0.08
 98.2687728643 23.9166319629 0.08
 18.4581796329 23.7800468734 0.08
 49.0629255227 23.6648710344 0.08
  53.898017931 23.8309609607 0.08
 35.7774789627 23.5988933284 0.08
 20.1907679561 23.5591315488 0.08
 89.2028412222 23.5566883521 0.08
 5.99252335389 23.5760028241 0.08
 87.2291478202 23.9577331186 0.08
 16.3993802212 23.9808858681 0.08
  47.853640153 23.5224756371 0.08
 54.9139681239 23.9665514175 0.08
 68.5928707921 23.9748809991 0.08
 12.0873384811 23.8612273251 0.08
  88.688332702 23.8001916015 0.08
 85.1683254418 24.1770749119 0.08
  22.370615451 23.5920692554 0.08
 57.7314213023  24.086403381 0.08
  11.923946453 23.8129465673 0.08
 92.0566076078 23.5518854398 0.08
 46.9542304187 23.6221870643 0.08
 16.1749815584 23.9979323482 0.08
 82.6560310175 23.9885340396 0.08
 86.2329719882 23.9589659411 0.08
 73.0696666253 23.9534786386 0.08
 96.8311705383 23.7218309876 0.08
 34.3485631626 23.5703542665 0.08
 51.5741131886  23.785829114 0.08
 12.6093943055 24.0127709926 0.08
 3.41949974362 23.9397349579 0.08
 22.7853790936 23.7013214357 0.08
 38.4508496088 23.7564695126 0.08
 96.1117831108 23.8680826498 0.08
 77.4003452984 23.5123501723 0.08
 96.1857642801 23.9866378471 0.08
 7.01381241127 23.5609163398 0.08
 10.9034259862 23.9756309463 0.08
 31.8160633812 24.0133081036 0.08
 90.6590838405 23.4707769723 0.08
 54.5577783458 23.9869324963 0.08
 60.3219478932  23.919559774 0.08
 89.8947575319 23.6560170494 0.08
 6.74304212406 23.6669769177 0.08
 8.12589016032 23.6730114065 0.08
 65.6110559282 23.5882840997 0.08
 87.1358074129 23.9746141076 0.08
 78.8075344515 23.5696641713 0.08
 13.0130305875 24.0308571066 0.08
  22.094383141 23.5298292456 0.08
  76.662900529 23.6531492422 0.08
 62.9495869281 23.4412225784 0.08
 2.59225374331 24.0687862226 0.08
 99.7625904867 24.1456209782 0.08
 2.85593049865 23.9448551677 0.08
 51.8918404726  23.704654245 0.08
 15.0533781171 24.1034549883 0.08
 89.0779593526 23.6280652676 0.08
 87.6364279449 23.8466146012 0.08
 14.2388124597 24.1660404644 0.08
 77.4651599733 23.7085958871 0.08
 26.6706310076 24.0014527327 0.08
  59.703272795 23.9730380975 0.08
 5.19066496511  23.373024256 0.08
 82.5034472812 23.9817974777 0.08
 77.7485617131 23.6163649157 0.08
 52.8599424226 23.5330680383 0.08
 63.1874737125  23.690049393 0.08
  58.789726661 23.9262000886 0.08
 91.1550222454 23.4972027094 0.08
 22.5331433748 23.5579618698 0.08
 94.0867094141  23.702045224 0.08
 54.2500441136 23.9923531763 0.08
 16.5113274505 23.9475112428 0.08
 97.2455902062 24.0350556492 0.08
 29.6080779529 23.9183229057 0.08
 86.2629865628 23.9567039354 0.08
  87.794668471 23.9942977512 0.08
 92.5720271807 23.6808975476 0.08
 74.9957787771 23.6590310376 0.08
 33.3672015089 23.5586163929 0.08
 94.5207950775 23.6515926974 0.08
 46.4850677324 23.7243376992 0.08
 30.3077410022 23.9021726152 0.08
 41.0236220858 24.0253300193 0.08
 39.9083522308 23.9716420837 0.08
 83.8675853711 24.0316092517 0.08
 41.6240200939 24.1074224186 0.08
  39.436902236 23.7963346471 0.08
 45.5088567298 23.8256751577 0.08
