              t   Imag  Ierr
--------------- ------ -----
     79.7596075 13.731 0.005
       11.19939 13.622 0.005
      39.969997 13.647 0.005
     55.8938505   13.2 0.005
     28.1985735 13.221 0.005
     84.5440775 13.235 0.005
     32.2037435 13.369 0.005
     88.6982475 13.423 0.005
     89.8061275 13.518 0.005
     62.8946905 13.614 0.005
     36.0843735  13.71 0.005
      51.053637 13.775 0.005
       24.28778 13.719 0.005
     94.7572575 13.617 0.005
     95.6690775  13.66 0.005
       27.20489 13.289 0.005
     42.0065935 13.209 0.005
       1.432033 13.271 0.005
      85.870234 13.277 0.005
     44.9507535 13.301 0.005
       4.422413 13.361 0.005
       5.259063 13.425 0.005
      61.879867 13.513 0.005
      63.040837 13.636 0.005
      63.828617 13.711 0.005
       37.00859 13.761 0.005
      65.831027  13.73 0.005
      67.850217 13.645 0.005
      96.632684 13.381 0.005
      68.953197 13.282 0.005
      0.3605095  13.22 0.005
     29.1488065  13.24 0.005
      16.198033 13.269 0.005
     86.7269505 13.302 0.005
     58.9835335  13.31 0.005
     32.0943165 13.352 0.005
     60.9069735 13.428 0.005
     34.0914665 13.512 0.005
     62.9048235  13.62 0.005
      21.394143 13.643 0.005
      9.2678695 13.764 0.005
      79.807977  13.72 0.005
     39.0724065 13.619 0.005
     12.2551195 13.648 0.005
      32.281583 13.384 0.005
     74.8945135 13.433 0.005
     74.9612435 13.455 0.005
     49.0813465 13.634 0.005
       8.464156 13.745 0.005
     51.2282665 13.776 0.005
     52.2201865 13.691 0.005
     25.2754795 13.614 0.005
       67.99392 13.637 0.005
       68.99742 13.256 0.005
      0.4543025 13.213 0.005
      1.4930925 13.245 0.005
     30.2615795 13.267 0.005
     32.2624395 13.377 0.005
       76.00112  13.54 0.005
      21.344346 13.637 0.005
      9.4388625 13.772 0.005
       79.08455  13.77 0.005
      52.162983 13.701 0.005
        83.0688  13.18 0.005
     70.0867765 13.228 0.005
     15.4365425 13.253 0.005
       85.98465 13.281 0.005
       86.99194 13.323 0.005
       4.652929 13.387 0.005
      77.271933 13.668 0.005
     92.0365765 13.736 0.005
     65.2775395 13.773 0.005
       2.733362 13.289 0.005
      63.304626 13.656 0.005
      36.487569 13.742 0.005
     52.3909325 13.674 0.005
      12.718382 13.567 0.005
     83.2192195 13.154 0.005
      70.317876 13.245 0.005
      71.346606 13.259 0.005
      72.329976 13.291 0.005
     60.3752825   13.4 0.005
      19.661582 13.475 0.005
     38.5555955 13.662 0.005
     73.3097815 13.326 0.005
      19.751334 13.477 0.005
     71.4652345 13.264 0.005
     73.5100845 13.344 0.005
     76.4539845 13.592 0.005
      92.366848  13.75 0.005
     23.8716505 13.759 0.005
     84.5297145 13.232 0.005
     59.6772675 13.333 0.005
      78.541031 13.766 0.005
      84.606241 13.238 0.005
     72.6614475   13.3 0.005
     45.8259505 13.347 0.005
     49.8782605  13.71 0.005
     31.0009035 13.302 0.005
      6.1145565 13.493 0.005
     91.6248375 13.712 0.005
      78.670714 13.765 0.005
     11.2189465 13.617 0.005
      53.838267 13.652 0.005
     43.8878335 13.278 0.005
      89.683904 13.512 0.005
      62.918217 13.627 0.005
      65.914187 13.729 0.005
       46.11582 13.368 0.005
      77.925647 13.724 0.005
      25.256443 13.624 0.005
      82.922977 13.257 0.005
     48.2039265 13.535 0.005
      94.864677 13.607 0.005
       71.06275  13.24 0.005
      17.444306 13.307 0.005
     21.5438025 13.661 0.005
       8.624319 13.743 0.005
         97.036  13.18 0.005
     31.3596025  13.31 0.005
     32.4703125 13.377 0.005
     35.5504625 13.665 0.005
      8.5779055 13.731 0.005
      51.435636 13.765 0.005
      52.337076 13.678 0.005
      53.428116 13.629 0.005
       0.798332 13.237 0.005
     16.5330155 13.292 0.005
       4.807362  13.38 0.005
       6.730422 13.559 0.005
      91.133083 13.662 0.005
      41.518189 13.162 0.005
     59.4491525 13.324 0.005
      4.8599385 13.392 0.005
      5.8050185 13.481 0.005
      7.7248685 13.668 0.005
     65.4518125 13.768 0.005
     97.2646195 13.179 0.005
       9.915185 13.749 0.005
      95.285026 13.631 0.005
     28.7002485 13.235 0.005
      16.723305 13.293 0.005
     36.7144185 13.756 0.005
     13.8614915 13.161 0.005
       2.933258 13.292 0.005
      58.585562  13.29 0.005
      35.720075  13.68 0.005
      81.573872 13.643 0.005
     13.9944245 13.187 0.005
     18.9466345 13.416 0.005
      40.869688 13.452 0.005
     44.9737345 13.307 0.005
     78.7313805 13.773 0.005
      20.182613  13.53 0.005
      89.778867 13.525 0.005
     78.8320135 13.768 0.005
      93.731397 13.729 0.005
       67.93072 13.636 0.005
     60.0611965 13.375 0.005
      48.060033 13.521 0.005
      24.255876 13.719 0.005
      29.320606 13.255 0.005
     20.4083525 13.541 0.005
      71.113113  13.25 0.005
      48.278136 13.549 0.005
      26.474119 13.625 0.005
     18.4980055 13.379 0.005
     81.1051595 13.627 0.005
     57.2534225 13.258 0.005
      3.6262885 13.325 0.005
      21.654462 13.675 0.005
     13.6375385 13.173 0.005
      36.641602 13.756 0.005
      39.650142 13.654 0.005
     84.3284725 13.241 0.005
      46.599712   13.4 0.005
      6.8444815 13.585 0.005
     37.6987885 13.769 0.005
      27.837855 13.162 0.005
     17.9115515 13.338 0.005
     49.6464385 13.687 0.005
     80.4308455 13.657 0.005
      1.0598845 13.245 0.005
      3.0118345  13.29 0.005
      74.620912 13.417 0.005
     91.4494155 13.695 0.005
      81.416552 13.646 0.005
     17.9337745 13.339 0.005
     75.6748485 13.503 0.005
      36.841478 13.768 0.005
     82.6487185 13.415 0.005
      43.938428 13.274 0.005
      19.081711 13.416 0.005
      48.884238 13.607 0.005
      24.973871 13.626 0.005
      83.704495 13.196 0.005
      59.835028 13.355 0.005
       8.125754 13.703 0.005
      67.764998 13.649 0.005
      13.261964 13.318 0.005
     56.9653345 13.242 0.005
      17.096434 13.306 0.005
     32.9739375 13.414 0.005
     91.6179915 13.705 0.005
     96.6888215 13.342 0.005
      85.759168  13.27 0.005
     19.2656205 13.429 0.005
     21.2106305 13.622 0.005
      94.772918 13.617 0.005
      69.939991 13.224 0.005
      50.075564  13.72 0.005
     66.9789975  13.62 0.005
     76.0125275 13.539 0.005
