        t   Imag  Ierr
--------- ------ -----
91.078672 13.475 0.005
  8.30519 13.536 0.005
56.176531 12.939 0.005
76.145028 13.386 0.005
36.242697 13.535 0.005
51.206934 13.537 0.005
38.239227 13.446 0.005
96.093855 13.304 0.005
55.217594 13.027 0.005
88.131138 13.232 0.005
76.157061 13.387 0.005
91.127048 13.478 0.005
92.129868 13.534 0.005
90.140061 13.395 0.005
11.330699 13.371 0.005
79.194787  13.53 0.005
96.132007 13.293 0.005
 0.429478 12.955 0.005
 93.19034 13.524 0.005
22.397538 13.539 0.005
32.353138 13.236 0.005
49.218145 13.479 0.005
 9.344414 13.527 0.005
80.300599 13.426 0.005
40.432938 13.273 0.005
84.314939 12.952 0.005
31.385771 13.179 0.005
 7.386247 13.476 0.005
23.402514 13.528 0.005
42.445501 12.983 0.005
  2.54502 13.148 0.005
60.258848  13.23 0.005
20.362747 13.397 0.005
93.181402 13.528 0.005
26.376107 13.297 0.005
 2.456703 13.144 0.005
 18.40522 13.237 0.005
 22.40308 13.535 0.005
 9.590873 13.513 0.005
94.373205 13.416 0.005
96.203325 13.289 0.005
14.546423 12.971 0.005
57.486944 13.115 0.005
 31.57977 13.194 0.005
18.590903 13.253 0.005
20.476403 13.399 0.005
63.528864 13.504 0.005
26.549123 13.259 0.005
84.434911 12.986 0.005
30.559443 13.149 0.005
 6.626629 13.411 0.005
22.545716 13.539 0.005
80.405814  13.42 0.005
40.495253 13.259 0.005
28.577056  12.98 0.005
39.463966 13.346 0.005
89.295007 13.296 0.005
93.280457 13.518 0.005
57.403256 13.106 0.005
 7.530028 13.489 0.005
27.453495 12.967 0.005
47.394002 13.304 0.005
79.353909 13.516 0.005
95.339579 13.346 0.005
44.211651 13.142 0.005
 12.32693 13.302 0.005
88.109585 13.233 0.005
11.387733 13.368 0.005
71.228701   13.1 0.005
 33.24993 13.296 0.005
79.245361 13.532 0.005
74.280814 13.236 0.005
 9.393209 13.531 0.005
14.447589  12.96 0.005
35.315086 13.486 0.005
  69.2525 12.993 0.005
64.317353 13.534 0.005
40.364689 13.293 0.005
73.251523 13.182 0.005
35.419522 13.487 0.005
38.342242 13.425 0.005
83.137533 13.021 0.005
86.233473 13.133 0.005
60.331619 13.235 0.005
52.342392 13.436 0.005
13.426191   13.0 0.005
 1.560694 13.082 0.005
 3.519494 13.182 0.005
19.484591 13.316 0.005
21.460121 13.483 0.005
