              t   Imag  Ierr
--------------- ------ -----
      78.896355 13.652 0.006
      58.662283 13.377 0.006
       19.22679 13.513 0.006
      90.940555 13.567 0.006
      49.492062 13.608 0.006
      41.345811 13.341 0.006
      60.482902 13.467 0.006
      62.421702 13.548 0.006
       35.14034 13.605 0.006
       36.18508 13.652 0.006
       8.923218 13.675 0.006
      94.739434  13.63 0.006
      81.639603 13.556 0.006
      68.505742 13.488 0.006
      86.605653 13.363 0.006
      59.241541 13.414 0.006
       3.792387  13.45 0.006
      33.075799 13.502 0.006
       48.12859 13.543 0.006
       3.505946 13.447 0.006
      21.722367 13.639 0.006
      52.007049 13.641 0.006
      27.723497 13.282 0.006
       0.382405 13.271 0.006
      57.955699 13.335 0.006
      90.280951 13.527 0.006
      34.675627 13.581 0.006
      49.796548 13.618 0.006
      66.881849 13.598 0.006
       3.257264  13.43 0.006
      20.302735 13.583 0.006
       9.247264 13.663 0.006
      10.151384 13.633 0.006
      67.763688 13.536 0.006
       97.06525 13.451 0.006
       98.03009 13.323 0.006
      61.632947 13.522 0.006
      78.658368  13.66 0.006
      95.845289  13.55 0.006
      83.752178 13.339 0.006
      44.348585 13.364 0.006
      87.746688 13.412 0.006
       4.923662 13.488 0.006
      90.782728 13.552 0.006
      92.741868 13.641 0.006
      38.230144 13.631 0.006
      97.828158 13.344 0.006
      28.047323  13.26 0.006
      46.042844 13.463 0.006
      32.973253 13.481 0.006
       6.636991  13.59 0.006
      93.473057 13.643 0.006
      95.515127 13.569 0.006
      55.092804 13.389 0.006
      29.765982 13.345 0.006
      88.359506 13.428 0.006
      62.123494 13.522 0.006
      25.671971 13.517 0.006
      55.996463  13.28 0.006
      44.813062 13.395 0.006
       18.55604 13.484 0.006
       21.57689 13.632 0.006
      95.269275 13.585 0.006
      85.123994  13.26 0.006
      75.961733 13.512 0.006
       35.54942 13.625 0.006
      52.681311 13.608 0.006
      56.675231 13.259 0.006
      75.808382 13.516 0.006
       9.158317 13.654 0.006
       53.57514 13.547 0.006
      13.153257 13.329 0.006
       1.012786 13.304 0.006
      45.428889 13.415 0.006
      33.286358 13.507 0.006
      77.689431 13.624 0.006
      88.611841 13.439 0.006
      95.658501  13.58 0.006
      43.067117  13.29 0.006
       2.649054 13.398 0.006
       4.643314 13.486 0.006
      20.771455 13.587 0.006
      36.928766 13.651 0.006
      60.051397 13.439 0.006
       5.564123 13.533 0.006
      65.113557 13.657 0.006
      39.721215 13.532 0.006
      83.128998 13.435 0.006
       4.289602 13.462 0.006
       5.311902 13.516 0.006
      62.860986 13.562 0.006
       7.397242 13.615 0.006
      93.228698 13.648 0.006
      80.078047 13.652 0.006
      81.058287 13.605 0.006
       2.145791  13.39 0.006
      10.178161 13.618 0.006
      11.225201 13.541 0.006
      54.610974 13.447 0.006
      69.699445 13.343 0.006
      84.878786 13.254 0.006
      85.829386 13.313 0.006
      18.146411 13.462 0.006
      90.864296 13.543 0.006
      51.411243 13.646 0.006
      71.508034  13.29 0.006
       2.828639 13.415 0.006
      47.228972 13.506 0.006
      76.555204  13.55 0.006
      77.515354 13.599 0.006
       21.93626 13.646 0.006
      52.199912 13.634 0.006
       24.94068 13.577 0.006
      55.222272 13.384 0.006
      84.523894  13.27 0.006
      44.107491 13.362 0.006
      59.231772 13.407 0.006
        31.9728  13.45 0.006
       4.639218 13.511 0.006
      19.828739 13.549 0.006
      77.385453 13.598 0.006
      50.090331 13.638 0.006
       8.691108 13.652 0.006
      80.333563  13.64 0.006
      81.290493 13.586 0.006
      25.774879 13.513 0.006
      26.820449 13.399 0.006
      13.655898 13.283 0.006
      57.075491 13.285 0.006
      58.091901 13.358 0.006
      73.216902 13.401 0.006
      31.784309  13.44 0.006
      65.054041 13.652 0.006
      37.840049 13.634 0.006
      81.189752 13.601 0.006
      39.757939 13.526 0.006
      98.351113 13.289 0.006
      85.172172  13.27 0.006
       1.334136 13.337 0.006
      87.167392 13.402 0.006
      45.764129  13.43 0.006
       62.87754  13.58 0.006
      35.605478 13.619 0.006
      52.735029 13.612 0.006
      96.158492 13.531 0.006
      40.602858 13.454 0.006
      98.159432 13.324 0.006
      42.638468 13.267 0.006
      44.595288 13.393 0.006
      17.327436 13.427 0.006
       5.162935  13.51 0.006
      62.700519 13.565 0.006
      35.504877 13.612 0.006
      93.014151 13.651 0.006
      31.228906 13.425 0.006
      61.539878 13.503 0.006
       7.982484 13.661 0.006
