             t   Imag  Ierr
-------------- ------ -----
    65.3197988 13.413 0.005
    23.9162097 13.535 0.005
    78.3536088 13.285 0.005
    39.7945097 13.435 0.005
    69.8574091 13.369 0.005
      27.37587 13.321 0.005
    42.7604397 13.045 0.005
    72.6907591 12.927 0.005
    60.3145494 13.101 0.005
    17.8479103 13.127 0.005
     4.4165906 13.185 0.005
    49.8302697 13.329 0.005
    65.2973594 13.418 0.005
    54.7340997 13.388 0.005
    13.3478706 13.224 0.005
      47.37584 13.155 0.005
    68.8205297 13.423 0.005
    42.8674403 13.003 0.005
    30.4077106  13.08 0.005
    17.8495209 13.132 0.005
    34.3673006 13.241 0.005
    83.8621497 13.378 0.005
      73.28305 13.019 0.005
      76.36836 13.148 0.005
    35.8252309 13.358 0.005
    25.8451915 13.388 0.005
    13.4327018 13.206 0.005
    32.7925215 13.145 0.005
    78.3525906 13.284 0.005
    21.2928018 13.364 0.005
    51.3307412 13.458 0.005
    66.7674909 13.527 0.005
    53.3364712  13.53 0.005
    10.7062921 13.458 0.005
    69.6454709 13.381 0.005
    69.8324709 13.372 0.005
    27.1846218 13.349 0.005
    57.2975412 13.032 0.005
     0.4280724 12.951 0.005
    74.7356709 13.101 0.005
    47.7558115 13.186 0.005
    35.3556918 13.324 0.005
    79.8130709 13.415 0.005
    52.6896815 13.536 0.005
    11.3942024  13.39 0.005
    29.8741621 13.025 0.005
    33.8913821 13.212 0.005
    78.2884812 13.281 0.005
    21.2939124 13.368 0.005
    36.8417221  13.46 0.005
    37.8048921 13.528 0.005
    82.3390512 13.526 0.005
    39.7645821 13.435 0.005
    44.6818721 13.068 0.005
    61.2261318 13.124 0.005
    53.8006421  13.49 0.005
    55.7167021 13.368 0.005
    70.3083218 13.363 0.005
     14.339313 12.912 0.005
    59.7410321 13.082 0.005
    79.1892818 13.356 0.005
    66.7852621 13.521 0.005
    11.8523133 13.387 0.005
    71.6556421 13.086 0.005
     0.3761736 12.939 0.005
     32.156173 13.124 0.005
     36.209643 13.396 0.005
    11.7441239 13.382 0.005
     3.2080542 13.123 0.005
    38.2443436 13.532 0.005
     70.171423 13.364 0.005
    42.6972239 13.078 0.005
    14.7124445 12.922 0.005
     5.6998072 13.269 0.005
    85.0538957 13.349 0.005
    13.6117872 13.124 0.005
    45.6005966 13.096 0.005
    17.6177672 13.124 0.005
     77.602346 13.228 0.005
    52.5517366 13.516 0.005
    68.1486763  13.49 0.005
    25.6238472 13.386 0.005
    26.6359072 13.363 0.005
    83.0322463 13.461 0.005
    41.5858272 13.352 0.005
    76.5735466 13.167 0.005
    38.1493575  13.53 0.005
    68.0321769 13.517 0.005
    30.5845578 13.088 0.005
    62.6271372 13.196 0.005
    79.1222269 13.354 0.005
    36.6444078 13.441 0.005
    41.6265778 13.352 0.005
    86.1352969 13.091 0.005
    75.5728372 13.124 0.005
    13.0847387 13.301 0.005
    15.1002587 12.983 0.005
    59.5239078 13.086 0.005
      3.621229 13.141 0.005
    63.5834778 13.263 0.005
    51.1583481 13.444 0.005
    38.6710984 13.529 0.005
    68.6642778 13.445 0.005
    70.5817678 13.353 0.005
    28.1405587  13.12 0.005
    29.1232087 12.907 0.005
     3.1138193 13.124 0.005
     21.600319 13.397 0.005
    40.1388487 13.403 0.005
     27.613199 13.295 0.005
    15.2089693 13.005 0.005
    46.1846187 13.111 0.005
     4.6725096 13.189 0.005
     35.587219 13.341 0.005
    23.1367693 13.511 0.005
    53.1738387 13.526 0.005
     39.676609 13.444 0.005
    69.5305384 13.388 0.005
    33.1516093 13.155 0.005
    63.1240087 13.226 0.005
     7.0890499  13.39 0.005
     9.1892199 13.529 0.005
    82.5451484 13.505 0.005
    14.0759599 12.944 0.005
     59.506819 13.078 0.005
    17.1181399 13.107 0.005
     3.4550902 13.141 0.005
     62.479729 13.186 0.005
     5.5907802 13.257 0.005
    50.9954293 13.433 0.005
    81.9443387 13.535 0.005
     69.545349 13.383 0.005
    12.4684702 13.362 0.005
    57.9441393 12.906 0.005
     0.9946405 13.041 0.005
    49.5516596 13.297 0.005
    37.9636799  13.52 0.005
    25.4584602 13.422 0.005
    70.0278993 13.365 0.005
    43.9498499 12.952 0.005
    59.5099796 13.083 0.005
    45.9669599 13.103 0.005
    47.9355199 13.188 0.005
    79.0481693 13.346 0.005
    36.5484702 13.433 0.005
    68.4813096 13.474 0.005
    27.9677605 13.186 0.005
    43.4899002 12.905 0.005
    74.4998296 13.093 0.005
    48.5076102 13.219 0.005
    38.0088905 13.526 0.005
    54.4997702 13.406 0.005
    26.5376008 13.371 0.005
    48.0097805 13.193 0.005
     5.4817314 13.252 0.005
    66.4209302 13.505 0.005
    40.4507208 13.385 0.005
     5.9530317 13.281 0.005
    26.5330414 13.357 0.005
    15.9900117 13.071 0.005
      6.479302 13.331 0.005
    38.4885714 13.527 0.005
    74.4260708  13.09 0.005
    62.9196111 13.214 0.005
    59.4161014 13.079 0.005
    17.9676923 13.141 0.005
    16.8870544 13.095 0.005
     4.3944847 13.184 0.005
    49.9098038 13.338 0.005
     8.4351047 13.501 0.005
    25.9632144 13.382 0.005
    72.3219535 12.904 0.005
    47.3174241 13.151 0.005
    77.3864735 13.215 0.005
    25.4659547 13.412 0.005
    55.3263741 13.382 0.005
    72.8014838  12.94 0.005
     1.4773353 13.074 0.005
     16.847095 13.099 0.005
    61.2802441 13.127 0.005
    85.7798438 13.235 0.005
    17.4285653 13.117 0.005
    49.3315647  13.28 0.005
     8.9263456 13.526 0.005
    11.9306556  13.37 0.005
     43.901735 12.944 0.005
    73.9280644 13.079 0.005
    33.3513353 13.181 0.005
    20.8041056 13.316 0.005
    80.8040944 13.494 0.005
    69.2361347 13.392 0.005
    13.4201059 13.202 0.005
     1.8212562 13.087 0.005
    76.3737947 13.154 0.005
     5.8240962 13.277 0.005
    79.3864347 13.369 0.005
    51.2696553 13.451 0.005
    52.2351753 13.511 0.005
     67.806975 13.519 0.005
     68.840985 13.425 0.005
    27.3880359 13.332 0.005
     72.901245 12.958 0.005
    15.9765962 13.082 0.005
     74.773085 13.103 0.005
    33.3309859 13.177 0.005
    49.8208056 13.318 0.005
    36.3318459 13.417 0.005
     9.3295065 13.531 0.005
    40.3731259 13.386 0.005
    41.2990559 13.361 0.005
    42.4245059 13.193 0.005
    44.3164459 13.014 0.005
     7.8061568 13.453 0.005
    10.7619768 13.443 0.005
    11.9163368 13.375 0.005
    13.8186568 13.037 0.005
    73.7844356 13.077 0.005
    59.3107559 13.084 0.005
     2.3557871 13.099 0.005
     3.3329571 13.126 0.005
    64.3188659 13.325 0.005
    50.7626762 13.405 0.005
     8.3189571 13.492 0.005
    23.7867068 13.531 0.005
    82.7677056 13.484 0.005
    69.2527259 13.388 0.005
    44.2661765  13.01 0.005
    19.2070171   13.2 0.005
    81.2402859 13.524 0.005
    11.8042374 13.378 0.005
     1.3294977  13.07 0.005
    18.8589374 13.177 0.005
    49.8480068 13.321 0.005
    80.7607962 13.492 0.005
    25.7950374 13.389 0.005
    57.7765368 12.907 0.005
    46.2512371 13.133 0.005
    79.2227565 13.359 0.005
    54.3104871 13.425 0.005
    84.2416665 13.379 0.005
    41.7813674 13.339 0.005
     13.869558 13.016 0.005
    44.7794274 13.063 0.005
    61.2255371 13.124 0.005
    64.1817571 13.312 0.005
    50.7075174 13.405 0.005
    37.2785277 13.496 0.005
     24.769728 13.491 0.005
    69.3082171 13.394 0.005
    71.1658371 13.266 0.005
    44.3330877 13.023 0.005
     1.7593886 13.091 0.005
    61.7120974 13.141 0.005
     34.830988 13.279 0.005
    22.3228983 13.459 0.005
    82.2497071 13.524 0.005
     39.722178 13.441 0.005
    70.6721674 13.348 0.005
    13.7133886 13.074 0.005
    15.8288186  13.07 0.005
