              t   Imag  Ierr
--------------- ------ -----
     60.1321235 13.872 0.006
      2.8587546 14.016 0.006
     47.9425854 14.114 0.006
     79.1588835 14.021 0.006
       29.92532 13.873 0.006
     20.7768873 13.904 0.006
     11.6849746 13.937 0.006
     23.8418173 14.111 0.006
     44.9304227 14.213 0.006
       35.94435 14.274 0.006
      7.7589419 14.113 0.006
       38.86857 14.035 0.006
     82.9699408 14.001 0.006
       44.87567 14.205 0.006
     29.8375946 13.887 0.006
      6.6615365 14.212 0.006
      9.6867465 13.896 0.006
       63.86654 14.084 0.006
      5.6318638 14.272 0.006
     31.7471392 13.932 0.006
     85.8766027 14.274 0.006
      8.6108611  14.04 0.006
       81.84235 13.919 0.006
     10.4457457 13.882 0.006
     32.6102211 13.984 0.006
     77.6564119 14.142 0.006
     19.4857757 13.934 0.006
     50.5142538  13.87 0.006
     31.4861084 13.926 0.006
     32.4337284 13.969 0.006
      13.404063 14.056 0.006
     74.5046292 14.163 0.006
     25.4548157 14.252 0.006
      6.1866303 14.265 0.006
     77.5977992 14.148 0.006
     28.4961757 14.058 0.006
     70.5335965 13.875 0.006
     82.5759292 13.972 0.006
      24.401643 14.174 0.006
     15.3476803 14.255 0.006
     77.4659165 14.165 0.006
     89.6817392 13.955 0.006
     13.3215376 14.056 0.006
      37.434183 14.148 0.006
     88.5756465 14.076 0.006
     89.5376565 13.981 0.006
      0.2013822 13.873 0.006
     51.3839357 13.917 0.006
     52.4506857 13.968 0.006
     23.2120176  14.04 0.006
     38.1732103 14.089 0.006
     30.1843976 13.877 0.006
      57.335893 14.164 0.006
     29.1202949 14.004 0.006
     19.1789122 13.998 0.006
      1.0786568 13.902 0.006
      63.276293 14.034 0.006
     38.1037949 14.114 0.006
     40.1888849 13.864 0.006
     13.0808668 14.037 0.006
     45.0592649 14.226 0.006
     56.2693976  14.28 0.006
      8.8517241 14.027 0.006
     53.0807349 14.022 0.006
     11.8193087 13.935 0.006
     78.0356549 14.117 0.006
     64.0058495  14.12 0.006
      6.6913833 14.222 0.006
     39.7939087 13.902 0.006
      2.5967779 13.998 0.006
     31.4488409 13.922 0.006
     22.4085982 13.974 0.006
     15.3752555 14.261 0.006
     36.4584109 14.254 0.006
     88.7058744 14.066 0.006
     82.5896117 13.966 0.006
      4.2889801 14.158 0.006
      75.608249 14.256 0.006
     28.2738328 14.081 0.006
      0.1631947 13.873 0.006
     16.2165074 14.257 0.006
     21.2597674 13.915 0.006
     62.3398582 13.959 0.006
     68.3596682 14.086 0.006
      11.160682 13.912 0.006
     63.3860455 14.042 0.006
     34.2440174 14.141 0.006
     39.2261974 13.993 0.006
0.0919766000001 13.859 0.006
     14.0625493 14.136 0.006
      3.9324339 14.128 0.006
     76.2551628  14.27 0.006
     57.1236474 14.186 0.006
     59.1775274 14.014 0.006
     61.1832574 13.918 0.006
     13.0278239 14.025 0.006
     65.2491474 14.234 0.006
     76.3079601 14.266 0.006
     58.1376447 14.105 0.006
     39.0761293 14.023 0.006
     90.2781728  13.87 0.006
     32.9837766 14.011 0.006
     77.1567074 14.182 0.006
     10.8989785 13.903 0.006
     83.1696274 14.014 0.006
      65.166802 14.234 0.006
     77.2080347 14.176 0.006
      8.8561858 14.026 0.006
     61.0120593 13.903 0.006
     22.8752285 14.013 0.006
     44.0217739 14.116 0.006
     24.9259685 14.223 0.006
     35.8454912 14.277 0.006
     12.8023431 14.008 0.006
     74.0748593  14.11 0.006
     15.7181431 14.273 0.006
     68.0376766 14.115 0.006
     48.8601712 14.039 0.006
     83.0497493 13.997 0.006
     35.7444658 14.268 0.006
     76.8248066 14.224 0.006
     47.7695785 14.125 0.006
     48.8512685 14.033 0.006
     80.8966066   13.9 0.006
     11.6973977 13.929 0.006
       2.519405 13.989 0.006
     14.6518877   14.2 0.006
       7.497635 14.132 0.006
     88.8535066 14.043 0.006
     21.6111177 13.931 0.006
     44.5949131 14.181 0.006
     26.6449377 14.221 0.006
      9.4796923 13.925 0.006
     61.7748658 13.913 0.006
     43.5050304 14.062 0.006
     55.6854331 14.265 0.006
      8.3238396 14.065 0.006
     89.7750812 13.931 0.006
     62.5979631 13.972 0.006
     25.4369423 14.261 0.006
     46.5579277 14.248 0.006
      7.3864169 14.146 0.006
     29.4613623 13.944 0.006
      42.411085 13.969 0.006
     65.5098404 14.249 0.006
     68.5313904 14.066 0.006
      3.2044915 14.043 0.006
     85.5873831 14.254 0.006
      57.454215 14.151 0.006
     79.5455404 13.969 0.006
     50.3966723 13.866 0.006
      71.421875  13.91 0.006
     49.2667569 13.991 0.006
     62.3850096 13.957 0.006
      87.389765 14.165 0.006
     86.3782423 14.275 0.006
     29.0974961 14.011 0.006
       0.958588 13.914 0.006
     41.1003961 13.912 0.006
     66.1813115 14.275 0.006
     42.0140191 13.936 0.006
     54.0528218 14.111 0.006
     46.9224091 14.194 0.006
     90.1762499 13.881 0.006
