        t   Imag  Ierr
--------- ------ -----
83.590234 12.974 0.006
43.128788 12.562 0.006
 22.84932 12.606 0.006
54.096378 12.973 0.006
14.583932 13.129 0.006
80.343896 13.151 0.006
81.353446 13.206 0.006
82.391506 13.201 0.006
83.210896 13.118 0.006
84.188286  12.65 0.006
22.481472 12.593 0.006
66.036698 12.617 0.006
 45.83573 12.639 0.006
26.581642 12.687 0.006
 6.223114 12.714 0.006
10.219684 12.891 0.006
32.536562 12.955 0.006
34.557292 13.083 0.006
 62.83205 12.693 0.006
 3.032356  12.63 0.006
 6.058356 12.702 0.006
 8.999286 12.829 0.006
 74.80292 12.939 0.006
34.286604  13.06 0.006
60.551482 13.199 0.006
 83.82859 12.856 0.006
46.260564 12.636 0.006
70.518202  12.72 0.006
46.049136 12.644 0.006
46.991606 12.665 0.006
75.201364 12.963 0.006
34.673288 13.084 0.006
35.619348 13.121 0.006
57.941136 13.139 0.006
 16.48093 13.149 0.006
39.568358 13.203 0.006
 19.42889 13.107 0.006
41.624048 12.667 0.006
42.677078 12.527 0.006
43.644258 12.584 0.006
 23.35069 12.617 0.006
 3.069862 12.633 0.006
46.722218 12.649 0.006
47.593238  12.67 0.006
69.976016 12.701 0.006
 8.101002 12.784 0.006
73.835826  12.88 0.006
74.860916 12.942 0.006
79.931966 13.141 0.006
62.707038 12.762 0.006
 42.42929 12.513 0.006
64.599008  12.57 0.006
23.132542 12.612 0.006
 2.824034 12.625 0.006
 46.42467 12.649 0.006
68.628208  12.67 0.006
30.971182 12.861 0.006
75.551348 12.991 0.006
82.662908 13.205 0.006
42.007302 12.544 0.006
84.632228 12.527 0.006
 67.29334 12.642 0.006
51.037652 12.801 0.006
10.551226 12.915 0.006
56.099572   13.1 0.006
57.993092 13.149 0.006
 82.29884  13.21 0.006
64.014132 12.541 0.006
84.029402 12.723 0.006
  2.88423 12.634 0.006
72.733254 12.816 0.006
56.433116 13.111 0.006
10.603982 12.919 0.006
37.231098 13.142 0.006
 46.94432 12.663 0.006
75.149508 12.974 0.006
76.193748 13.036 0.006
77.143128 13.091 0.006
15.424274 13.139 0.006
16.337904 13.149 0.006
82.145298 13.212 0.006
21.321244 12.521 0.006
22.343044 12.593 0.006
44.663562 12.611 0.006
45.661922 12.635 0.006
55.667542 13.081 0.006
60.650542 13.202 0.006
 83.86261 12.796 0.006
66.663692 12.627 0.006
 5.820818 12.706 0.006
58.247294 13.146 0.006
18.821308 13.199 0.006
84.613082 12.522 0.006
64.342564 12.553 0.006
23.830898 12.621 0.006
31.768218 12.915 0.006
62.125216 13.042 0.006
63.996836 12.525 0.006
44.690148  12.61 0.006
68.013116 12.656 0.006
 27.49338 12.712 0.006
 8.296062 12.793 0.006
52.817468 12.905 0.006
54.817638 13.026 0.006
56.752338 13.119 0.006
15.238622  13.14 0.006
81.993566 13.209 0.006
 42.59665 12.522 0.006
25.252242 12.652 0.006
28.217792 12.734 0.006
 8.988974 12.829 0.006
32.300272 12.941 0.006
76.778248 13.061 0.006
78.766638 13.135 0.006
17.044414 13.176 0.006
39.337532 13.198 0.006
41.157042 12.896 0.006
 0.649206 12.562 0.006
27.916944 12.724 0.006
29.897074 12.812 0.006
11.647486 12.989 0.006
15.639796 13.151 0.006
 81.46115  13.21 0.006
 82.46907 13.206 0.006
40.770434 13.078 0.006
20.576126 12.564 0.006
 0.381348 12.549 0.006
 2.318608 12.619 0.006
25.551626 12.661 0.006
48.904154 12.721 0.006
49.783774 12.754 0.006
30.529696 12.842 0.006
52.799114 12.904 0.006
15.363998 13.144 0.006
60.789904 13.204 0.006
41.511446 12.699 0.006
63.875814  12.52 0.006
  2.98891 12.628 0.006
67.849424 12.652 0.006
47.530786 12.675 0.006
28.236968 12.742 0.006
30.371378 12.837 0.006
52.601456 12.899 0.006
55.556016 13.075 0.006
 15.98517 13.145 0.006
 17.01817 13.181 0.006
 19.04979 13.181 0.006
68.550996 12.675 0.006
70.552776 12.729 0.006
 29.04411 12.767 0.006
 36.96654 13.146 0.006
61.211548 13.203 0.006
 42.95723 12.542 0.006
30.664582 12.846 0.006
36.755492 13.136 0.006
 61.96394 13.098 0.006
45.679992 12.635 0.006
 6.186246 12.713 0.006
55.670192 13.074 0.006
58.652902 13.149 0.006
60.695082 13.205 0.006
71.657532 12.778 0.006
44.426634 12.609 0.006
46.423214 12.651 0.006
69.733472 12.702 0.006
