         t   Imag  Ierr
---------- ------ -----
  12.06628 13.425 0.006
 0.2503988 13.118 0.006
 1.2332788 13.224 0.006
11.2179488 13.467 0.006
69.7469736 13.134 0.006
   30.0823 13.245 0.006
72.7293836 13.291 0.006
 4.3715576 13.355 0.006
   32.9493 13.416 0.006
20.0474688 13.508 0.006
 8.2485976 13.661 0.006
  37.03747 13.625 0.006
65.8571724 13.518 0.006
53.9863112 13.427 0.006
54.8835712 13.214 0.006
31.1284188 13.291 0.006
18.3036976 13.357 0.006
20.3244276 13.541 0.006
96.7327236 13.149 0.006
 3.5658852 13.305 0.006
75.9878212  13.55 0.006
  65.04953 13.608 0.006
  67.06607 13.449 0.006
27.4369464 13.136 0.006
18.5602452 13.381 0.006
89.9709212 13.564 0.006
53.2901276 13.436 0.006
 0.7686428 13.189 0.006
  91.10531 13.644 0.006
74.3410276   13.4 0.006
89.1627088 13.485 0.006
26.7141728 13.339 0.006
28.6864428 13.209 0.006
 1.8985504 13.235 0.006
16.8371816 13.277 0.006
31.6774228  13.33 0.006
32.5979228 13.395 0.006
89.1226776 13.488 0.006
62.4871552 13.586 0.006
63.4199252 13.649 0.006
35.7532928 13.661 0.006
36.7146528 13.657 0.006
 51.560954 13.544 0.006
24.7714816 13.493 0.006
25.7529716 13.438 0.006
 54.639014 13.296 0.006
41.6308228 13.105 0.006
70.5095852 13.228 0.006
72.4216752 13.276 0.006
18.8526904 13.407 0.006
75.3945152 13.497 0.006
 66.586344 13.479 0.006
15.1070992 13.231 0.006
16.0916992 13.248 0.006
  3.119858 13.283 0.006
59.6948628 13.342 0.006
 74.527874  13.42 0.006
47.8454516 13.515 0.006
 76.482344 13.601 0.006
  7.149108 13.598 0.006
 12.016798 13.431 0.006
 14.072198 13.117 0.006
62.8212816 13.619 0.006
50.8112904  13.64 0.006
 92.548974 13.628 0.006
80.7064928 13.468 0.006
40.9557492 13.234 0.006
18.2040768  13.36 0.006
 6.3632156 13.533 0.006
78.7827016 13.618 0.006
66.7970704 13.463 0.006
14.3236856 13.145 0.006
31.1805668 13.314 0.006
23.4374544 13.598 0.006
55.1001068 13.157 0.006
88.9203892 13.468 0.006
93.8826592 13.509 0.006
42.4446732 13.201 0.006
 49.583736  13.64 0.006
94.4112372  13.48 0.006
44.8466524 13.289 0.006
46.8815324 13.426 0.006
  20.09988 13.512 0.006
 91.564026 13.654 0.006
78.5984748 13.634 0.006
  25.10206 13.474 0.006
 0.3067476 13.127 0.006
15.2077288 13.226 0.006
71.7825936 13.249 0.006
 3.3849976 13.288 0.006
87.6869148 13.356 0.006
68.9074324 13.174 0.006
60.0112312 13.362 0.006
  48.08174 13.536 0.006
93.7827436 13.512 0.006
68.9686112 13.156 0.006
51.1119988 13.614 0.006
54.2107588 13.398 0.006
56.2154088 13.195 0.006
  1.690554 13.233 0.006
  73.09951  13.31 0.006
67.1576288 13.449 0.006
 20.735584 13.573 0.006
 22.607194 13.654 0.006
52.3212564 13.513 0.006
54.3818364 13.365 0.006
42.4796652 13.214 0.006
70.2659676 13.216 0.006
72.3310676 13.275 0.006
74.3277276 13.403 0.006
20.8111828 13.585 0.006
64.3834264  13.65 0.006
23.7568628 13.547 0.006
54.4831252 13.342 0.006
 2.0942004 13.247 0.006
89.2872776 13.491 0.006
64.4944852 13.649 0.006
66.5280152 13.483 0.006
68.5769352 13.272 0.006
84.4093464 13.221 0.006
44.7602128 13.285 0.006
 5.1875292 13.419 0.006
 61.735044 13.513 0.006
77.4337352 13.652 0.006
 65.571394 13.539 0.006
57.6975828 13.246 0.006
18.0402192 13.343 0.006
62.6905228 13.598 0.006
38.9585604 13.468 0.006
55.8763116 13.124 0.006
70.5816228 13.222 0.006
 85.528864 13.247 0.006
 17.200598 13.288 0.006
46.8961404 13.424 0.006
34.9876892 13.609 0.006
 23.198648 13.625 0.006
