               t   Imag  Ierr
---------------- ------ -----
      56.3889588 13.925 0.005
      31.1995994 13.992 0.005
      71.4370235 14.056 0.005
         7.93775  14.17 0.005
      21.1323547 14.161 0.005
      62.3618988 14.077 0.005
      76.4472235 14.018 0.005
      66.3325888 13.747 0.005
      74.3019088  14.17 0.005
      76.3280788 14.017 0.005
        25.92358 13.753 0.005
      41.0190347 13.818 0.005
      87.3432688 14.175 0.005
      22.8942753 14.094 0.005
      76.2652941 14.033 0.005
      30.8700253  13.96 0.005
      58.0532547 14.038 0.005
      85.2534141 14.114 0.005
      73.1336494 14.162 0.005
      35.8275853 14.118 0.005
      36.8500153 14.029 0.005
      64.0361347 13.934 0.005
      78.0397594 13.766 0.005
      36.6923906 14.031 0.005
      90.0551994  13.94 0.005
      12.4678412 13.776 0.005
      52.9008553 13.737 0.005
      53.8687353 13.802 0.005
      15.4635712 13.864 0.005
      23.4294212 14.054 0.005
      24.4446712 13.969 0.005
        77.81778   13.8 0.005
      26.4405712 13.708 0.005
      53.5933806 13.777 0.005
        82.76907 13.935 0.005
      19.3145965 14.079 0.005
       6.3185018  14.09 0.005
      72.7074453 14.147 0.005
         86.7955 14.181 0.005
        90.79582 13.816 0.005
      65.6289006 13.706 0.005
      79.7360353 13.774 0.005
      41.5051512 13.857 0.005
      42.4876912 13.897 0.005
      85.6664053 14.156 0.005
      26.2736918 13.731 0.005
      54.4479312 13.859 0.005
      55.3922912 13.887 0.005
      56.3436812 13.931 0.005
      72.4938759 14.136 0.005
      13.0631924 13.728 0.005
      41.2078918 13.832 0.005
       2.9300077 13.876 0.005
      44.1702318 13.986 0.005
      32.1195471 14.062 0.005
      59.2454865  14.13 0.005
      34.0221471  14.18 0.005
      74.2905212 14.177 0.005
      36.0251971 14.107 0.005
      76.2711312 14.027 0.005
      64.2106965 13.887 0.005
      26.1427424  13.72 0.005
        0.901353 13.748 0.005
      41.2046071 13.853 0.005
      42.0282871 13.893 0.005
      46.0309271 14.111 0.005
      86.3069812 14.166 0.005
      21.8493677 14.167 0.005
      22.0528477 14.159 0.005
      62.1190918 14.105 0.005
      49.1587371 14.088 0.005
      36.1465924 14.091 0.005
      23.8663277 14.031 0.005
      63.2822918 14.019 0.005
      24.9443577 13.931 0.005
       12.739153 13.759 0.005
       13.776063 13.743 0.005
      79.2954865 13.747 0.005
      80.2033365  13.82 0.005
      41.0852724 13.833 0.005
      42.9165224 13.895 0.005
      83.2845365 13.962 0.005
      71.1701618 14.038 0.005
      59.0076371 14.115 0.005
      85.4366465 14.128 0.005
      60.0302071 14.166 0.005
       8.7377783 14.183 0.005
       9.6906383 14.109 0.005
      89.3150465 14.025 0.005
      11.6885583 13.914 0.005
      38.8428377 13.733 0.005
      12.7532283 13.733 0.005
      66.0833671 13.705 0.005
       27.799993  13.82 0.005
      80.2678318 13.819 0.005
       2.6068636 13.869 0.005
       2.7802136 13.875 0.005
      82.1479718  13.92 0.005
      17.6748083 13.969 0.005
      71.0767471 14.047 0.005
      19.6852783 14.112 0.005
      46.8711677 14.178 0.005
      21.7703983 14.168 0.005
      61.9737524 14.108 0.005
      77.0143171 13.937 0.005
       3.4826389   13.9 0.005
      30.7133983 13.949 0.005
      57.9649977 14.019 0.005
      19.6107536 14.094 0.005
      21.6086336 14.173 0.005
      36.6797183 14.051 0.005
       0.4140442 13.711 0.005
      14.5153989 13.783 0.005
      90.9957324 13.786 0.005
      14.4933842 13.806 0.005
       67.854663 13.869 0.005
      56.6840183 13.941 0.005
       5.3990395  14.02 0.005
       6.3471395 14.092 0.005
      45.6817036 14.088 0.005
       72.873213  14.16 0.005
      36.5615489 14.035 0.005
      24.4375442 13.984 0.005
      64.6897783  13.82 0.005
      40.5350489 13.787 0.005
      15.3740395 13.849 0.005
       3.2976548 13.887 0.005
       5.2310148 13.999 0.005
       85.747573 14.148 0.005
       87.763043 14.141 0.005
      14.2252648 13.777 0.005
      45.3738542 14.095 0.005
      24.1993948 13.985 0.005
      77.5495436 13.854 0.005
      67.4586389 13.854 0.005
      16.1286501 13.899 0.005
       9.0253654 14.164 0.005
      58.2656795 14.072 0.005
      13.7406325 13.745 0.005
      50.7975072 13.932 0.005
      64.9003619 13.776 0.005
      82.0048166 13.908 0.005
      34.6087278 14.177 0.005
      88.9782666 14.045 0.005
      41.5470978 13.855 0.005
      69.7536972 13.931 0.005
      33.5151331  14.16 0.005
      45.4779931 14.085 0.005
      76.6387925 13.972 0.005
      73.5231178 14.168 0.005
      36.2786137 14.071 0.005
      89.7399525 13.969 0.005
       1.0763396 13.776 0.005
      70.4303431 13.998 0.005
      87.5413278 14.143 0.005
      25.0988143 13.857 0.005
